,title,description,ingredients,preparation,tags,allergens,skill,time,author,link
10,Włoskie czekoladowe ciasteczka Biscotti,"Biscotti to włoskie ciasteczka poddane dwukrotnemu pieczeniu, dzięki czemu zachowują niezwykłą kruchość i chrupkość.  My w naszej ciasteczkowej propozycji połączyliśmy tradycyjnie dużą ilość migdałów ze wspaniałym czekoladowym aromatem. Biscotti najlepiej smakują maczane w filiżance gorącej czekolady, herbaty lub kawy. ","[[35, 'Gramów', 'Kakao DecoMorreno'], [225, 'Gramów', 'mąka pszenna tortowa Lubella'], [35, 'Gramów', 'masło'], [125, 'Gramów', 'cukier'], [2, 'Sztuki', 'Jajka'], [1, 'Łyżeczka', 'PROSZEK DO PIECZENIA'], [100, 'Gramów', 'migdały'], [1, 'Szczypta', 'sól']]","['Rozgrzej piekarnik do 180°C. Na blachę wysyp migdały, następnie podpiekaj je przez 12 minut.', 'Wymieszaj mąkę, kakao, proszek do pieczenia i sól. Dodaj masło i jajka. Zagniataj ciasto, aż do uzyskania jednolitej masy.', 'Do tak przygotowanej masy dodaj migdały i zagnieć ciasto. Podziel je na pół i uformuj podłużne wałki.', 'Uformowane z ciasta wałki piecz przez 30 minut na dużej blasze wyłożonej papierem do pieczenia.Następnie wyjmij je z piekarnika i pozostaw do ostygnięcia na około 10 minut.', 'Wałki pokrój na 1 cm plastry i umieść je na blasze, po czym piecz ponownie przez około 15-20 minut.']","['sól', 'na słodko', 'cukier', 'masło', 'wypieki', 'proszek do pieczenia', 'impreza', 'deser', 'kakao decomorreno', 'jajka', 'kakao', 'mąka pszenna tortowa lubella', 'uroczystości', 'grill i piknik', 'włoska', 'migdały', 'ciasteczka']","['Gluten', 'Laktoza', 'Jajka']",Średni,Do 1 godz,decomorreno,http://uwielbiam.pl//przepis/wloskie-czekoladowe-ciasteczka-biscotti
11,Rogale dyniowo-czekoladowe,"Nasza propozycja rogali w kombinacji dyniowo- czekoladowej to przepyszny i prosty w przygotowaniu deser. Rogaliki wyglądem przypominają barwne jesienne liście. Dodatkowo wariacja bazująca na połączeniu dyni z czekoladą gwarantuje wyjątkowe i niebagatelne doznania smakowe, którym nikt się nie oprze.","[[500, 'Gramów', 'mąka pszenna tortowa Lubella'], [2, 'Łyżki', 'mąka pszenna tortowa Lubella'], [15, 'Gramów', 'Kakao DecoMorreno'], [325, 'Mililitrów', 'mleko UHT 3,2%'], [30, 'Gramów', 'drożdże'], [2, 'Łyżki', 'cukier'], [1, 'Szczypta', 'sól'], [45, 'Gramów', 'masło'], [70, 'Gramów', 'dyniowe puree'], [2, 'Łyżki', 'mleko UHT 3,2%'], [1, 'Sztuka', 'jajko']]","['W misce przygotuj zaczyn – wymieszaj drożdże z cukrem i ciepłym mlekiem. Zaczyn odstaw w ciepłe miejsce na 10-15 minut aż drożdże zaczną pracować.', 'Następnie dodaj do zaczynu mąkę i sól. Zacznij je wstępnie wyrabiać, w kolejnym kroku dodaj do całości miękkie masło. Wyrabiaj ciasto aż przestanie lepić się do rąk i będzie sprężyste.', 'Tak wyrobione ciasto podziel na dwie część. Dodaj do jednej puree dyniowe oraz dodatkową mąkę. Do drugiej kakao oraz mleko.', 'Ciasto wyrób ponownie i przełóż do misek. Następnie przykryj je folą na około 60 minut i odstaw w ciepłe miejsce.', 'Wyrośnięte ciasta podziel na 8 równych części. Zagnieć je na równe kule, przykryj ściereczką i ponownie pozostaw do wyrośnięcia na ok. 15-20 minut.', 'Rozpocznij formowanie rogalików: jedną część ciasta rozwałkuj na płasko i owiń nią drugie ciasto, szczelnie doklejając brzegi.', 'Rogaliki układaj na blasze i natnij ich wierzch bardzo ostrym nożem. Pozostaw do wyrośnięcia na kolejne 30 minut.', 'Po tym czasie posmaruj rogale rozmieszanym jajkiem i piecz w temperaturze 185°C jeszcze przez 15 minut.']","['dla rodziny', 'sól', 'na słodko', 'cukier', 'masło', 'impreza', 'deser', 'kakao decomorreno', 'jajko', 'podwieczorek', 'kakao', 'mąka pszenna tortowa lubella', 'mleko uht 3,2%', 'drożdże', 'grill i piknik', 'dyniowe puree']","['Gluten', 'Laktoza', 'Mleko', 'Jajka']",Średni,"Do 1,5 godz",decomorreno,http://uwielbiam.pl//przepis/rogale-dyniowo-czekoladowe
12,Ciasto czekoladowe z dynią,"Jesień to sezon na dyniowe szaleństwo także w dziedzinie wypieków. Prezentujemy przepis na przepyszne, bardzo czekoladowe ciasto z dynią, która odpowiada za mięsistość i wilgotność, a także za niebanalny smak ciasta. Oto idealny sposób na to, by w ciągu chwili powstało coś znakomitego i niebanalnego.","[['SKŁADNIKI NA CIASTO'], [210, 'Gramów', 'mąka pszenna tortowa Lubella'], [40, 'Gramów', 'Kakao DecoMorreno'], [190, 'Gramów', 'cukier'], ['0.5 Łyżeczki cynamon'], [1, 'Łyżeczka', 'soda oczyszczona'], [1, 'Szczypta', 'sól'], [2, 'Sztuki', 'Jajka'], [250, 'Gramów', 'dyniowe puree'], [125, 'Mililitrów', 'Olej roślinny'], ['SKŁADNIKI NA POLEWĘ'], [2, 'Łyżki', 'Kakao DecoMorreno'], [3, 'Łyżki', 'masło'], [2, 'Łyżki', 'cukier'], [2, 'Łyżki', 'śmietana 36%']]","['Formę keksową wyłóż papierem do pieczenia.', 'Wymieszaj wszystkie suche składniki ( mąkę, kakao, proszek do pieczenia, cynamon, cukier oraz szczyptę soli). W drugim naczyniu wymieszaj mokre ( jajka, olej oraz puree dyniowe).', 'Połącz wszystkie składniki i przelej do formy. Piecz ciasto przez około 50 minut w temperaturze 180°C.', 'Gdy ciasto ostygnie przygotuj polewę. W rondelku wymieszaj masło cukier oraz kakao. Na koniec dodaj śmietankę. Pokryj wierzch ciasta polewą. Wierzch opcjonalnie możesz posypać także ziarnami kakao lub posiekanymi orzechami.']","['sól', 'na słodko', 'warzywa', 'cukier', 'masło', 'impreza', 'deser', 'kakao decomorreno', 'jajka', 'podwieczorek', 'kakao', 'mąka pszenna tortowa lubella', 'fit', 'cynamon', 'uroczystości', 'soda oczyszczona', 'olej roślinny', 'śmietana 36%', 'dyniowe puree']","['Gluten', 'Laktoza', 'Jajka']",Łatwy,Do 40 min,decomorreno,http://uwielbiam.pl//przepis/ciasto-czekoladowe-z-dynia
13,Drożdżowe rogaliki dyniowe z kremem kakaowym,"Wyjątkowa wariacja na temat drożdżowych rogalików, na bazie ciasta dyniowego i nadzienia kakaowego. Oto przepis na obłędnie pyszne, pachnące i mięciutkie zawijańce,  których przygotowanie zajmuje niewiele czasu. Nadają się jako dodatek do śniadania, idealnie osłodzą także jesienne, południowe spotkania przy herbacie lub kawie. ","[['SKŁADNIKI NA CIASTO'], [450, 'Gramów', 'mąka pszenna tortowa Lubella'], [8, 'Gramów', 'drożdże'], [130, 'Gramów', 'dyniowe puree'], ['0.5 Łyżeczki sól'], [60, 'Gramów', 'cukier'], [100, 'Mililitrów', 'mleko UHT 3,2%'], [80, 'Gramów', 'masło'], [1, 'Sztuka', 'białko jaja kurzego'], ['SKŁADNIKI NA NADZIENIE'], [2, 'Łyżki', 'Kakao DecoMorreno'], [120, 'Gramów', 'orzechy włoskie'], [50, 'Gramów', 'masło']]","['W rondelku podgrzej mleko wraz masłem. W misce wymieszaj mleko, masło, puree dyniowe oraz jajka. Następnie dodaj mąkę, drożdże, cukier i sól.', 'Całość wyrabiaj tak długo aż ciasto stanie się gładkie i sprężyste. W następnym kroku przełóż ciasto do miski, przykryj ściereczką i odstaw na około 45 minut w ciepłe miejsce - aby podwoiło swoją objętość.', 'W międzyczasie przygotuj nadzienie. Zmiel orzechy, lub bardzo drobno posiekaj. Wymieszaj z rozpuszczonym masłem, miodem oraz kakao.', 'Gdy ciasto wyrośnie zagnieć je ponownie i podziel na 2 części. Rozwałkuj każdą z nich na cienkie placki, pokrój w trójkąty (12) i nakładaj porcje nadzienia.', 'Zawijaj rogaliki i kolejno odkładaj na blachę. Następnie przykryj je ściereczką i odstaw ponownie do wyrośnięcia (około 20 minut). Przed pieczeniem posmaruj je jeszcze roztrzepanym białkiem.', 'Rogaliki piecz, aż pięknie się zarumienią, przez około 15 -20 minut w temperaturze 180°C.']","['sól', 'na słodko', 'cukier', 'masło', 'wypieki', 'impreza', 'deser', 'kakao decomorreno', 'podwieczorek', 'kakao', 'mąka pszenna tortowa lubella', 'miód', 'bezmięsna', 'mleko uht 3,2%', 'drożdże', 'urodziny imieniny', 'orzechy włoskie', 'białko jaja kurzego', 'drugie śniadanie', 'dyniowe puree']",None,Średni,"Do 1,5 godz",decomorreno,http://uwielbiam.pl//przepis/drozdzowe-rogaliki-dyniowe-z-kremem-kakaowym
14,Delikatne ciasto czekoladowo dyniowe,"Prezentujemy przepis na ciasto bardzo dyniowe, idealny aromatyczny deser na jesienną słotę. Delikatny, puszysty, lekko wilgotny – znakomity placek dyniowy, w sam raz na jesienne popołudnia. Wyśmienicie smakuje w towarzystwie gorącej czekolady.","[['SKŁADNIKI NA CIASTO'], ['2.5 Szklanki mąka pszenna tortowa Lubella'], [200, 'Gramów', 'masło'], [500, 'Gramów', 'cukier puder'], [4, 'Sztuki', 'jajko'], [2, 'Łyżki', 'PROSZEK DO PIECZENIA'], [1, 'Szczypta', 'sól'], [125, 'Mililitrów', 'Maślanka'], ['SKŁADNIKI NA CIASTO DYNIOWE'], ['0.5 Szklanki mąka pszenna tortowa Lubella'], [130, 'Gramów', 'dyniowe puree'], ['SKŁADNIKI NA CIASTO CZEKOLADOWE'], ['0.5 Szklanki Kakao DecoMorreno'], [60, 'Mililitrów', 'Maślanka']]","['Rozgrzej piekarnik do 180°C. Przygotuj ciasto podstawowe: miękkie masło utrzyj z cukrem na puszysty krem, dodaj jajka i ponownie ubij.', 'Do tak przygotowanego ciasta wsyp mąkę, proszek do pieczenia oraz sól. Następnie dodaj maślankę i zmiksuj wszystko na gładkie ciasto.', 'Ciasto podziel na dwie części. Do jednej z nich dodaj puree oraz mąkę. Do drugiej dodaj kakao oraz maślankę.', 'Długą formę keksową wyłóż papierem do pieczenia. Nakładaj do niej na przemian: ciasto dyniowe oraz czekoladowe.', 'Na koniec całość wymieszaj delikatnie długą wykałaczką, tak aby oba odcienie ciasta lekko się ze sobą wymieszały. Piecz przez około 60 minut w temperaturze 180°C.']","['sól', 'na słodko', 'warzywa', 'masło', 'wypieki', 'proszek do pieczenia', 'impreza', 'deser', 'kakao decomorreno', 'cukier puder', 'jajko', 'podwieczorek', 'kakao', 'mąka pszenna tortowa lubella', 'fit', 'uroczystości', 'nowoczesne', 'maślanka', 'dyniowe puree']","['Gluten', 'Laktoza', 'Jajka']",Średni,"Do 1,5 godz",decomorreno,http://uwielbiam.pl//przepis/delikatne-ciasto-czekoladowo-dyniowe
15,4 - składnikowe fit ciasteczka śniadaniowe - bez cukru i glutenu,"Prezentujemy super- prosty, pożywny i szybki przepis dla wszystkich amatorów FIT słodkości. Nasze ciasteczka śniadaniowe są bezglutenowe i nie posiadają zbędnego dodatku cukru, a mimo to pozostają rozkosznie słodkie, miękkie i wyjątkowo smaczne. Możesz je ""włożyć do kieszeni"" i zabrać ze sobą na uczelnię/ do szkoły lub pracy. Wspaniale nadają się także do kawy lub jako zdrowa przekąska po treningu. ","[[50, 'Gramów', 'Kakao DecoMorreno'], [320, 'Gramów', 'Płatki owsiane'], [3, 'Sztuki', 'Dojrzałe banany']]","['Zblenduj płatki owsiane (bezglutenowe) na mąkę. Olej kokosowy rozpuść. W misce wymieszaj wszystkie składniki.', 'Ciasto przykryj folią i włóż do lodówki na około 25 minut.', 'Po tym czasie formuj z ciasta małe ciasteczka i piecz je przez oko 12-15 minut w temperaturze 180°C.']","['na słodko', 'deser', 'kakao decomorreno', 'podwieczorek', 'kakao', 'przystawki i przekąski', 'fit', 'płatki owsiane', 'bez glutenu', 'olej kokosowy', 'dojrzałe banany']",None,Łatwy,Do 40 min,decomorreno,http://uwielbiam.pl//przepis/4-skladnikowe-fit-ciasteczka-sniadaniowe-bez-cukru-i-glutenu
16,Najprostszy omlet bananowo- owsiany w 5 minut! ,"Specjalnie dla miłośników fit- śniadań na słodko przygotowaliśmy ten niezwykle pożywny, a przy tym bardzo łatwy w przygotowaniu przepis na omlet bananowo- owsiany. Nasza omletowa propozycja składa się z bardzo prostych a przy tym niezwykle zdrowych składników. Dodaje energii, pięknie wygląda i do tego pysznie smakuje, czego chcieć więcej?","[[15, 'Gramów', 'Kakao DecoMorreno'], [24, 'Gramy', 'mąka owsiana'], [1, 'Sztuka', 'Dojrzałe banany'], [2, 'Sztuki', 'jajko'], [1, 'Łyżka', 'Olej kokosowy'], [1, 'Garść', 'owoce']]","['Wszystkie składniki zblenduj. Na patelni podgrzej 1 łyżkę oleju kokosowego.', 'Wlej ciasto i smaż omleta na małej mocy kuchenki. Obróć na drugą stronę po około 2 minutach.', 'Gotowy omlet  podawaj z ulubionymi dodatkami, np. owocami, jogurtem.']","['na słodko', 'dla dzieci', 'deser', 'kakao decomorreno', 'śniadanie', 'jajko', 'podwieczorek', 'kakao', 'fit', 'grill i piknik', 'śniadanie', 'olej kokosowy', 'drugie śniadanie', 'owoce', 'mąka owsiana', 'dojrzałe banany']","['Gluten', 'Jajka']",Łatwy,Do 15 min,decomorreno,http://uwielbiam.pl//przepis/najprostszy-omlet-bananowo-owsiany-w-5-minut
17,Ciasteczka thumbprint z nadzieniem krówkowym i orzechami,"Przedstawiamy naszą krówkowo-orzechową ciasteczkową wariację. Są to pyszne, chrupiące i bardzo efektowne ciasteczka z wyraźną nutą kakaową. Idealnie sprawdzą się jako dodatek do kawy lub kubka herbaty podczas długich jesienno-zimowych wieczorów.","[['SKŁADNIKI NA CIASTO'], [130, 'Gramów', 'mąka pszenna tortowa Lubella'], [30, 'Gramów', 'Kakao DecoMorreno'], [110, 'Gramów', 'masło'], [150, 'Gramów', 'cukier'], [1, 'Szczypta', 'sól'], [2, 'Sztuki', 'jajko'], [1, 'Szklanka', 'Orzechy laskowe mielone'], ['SKŁADNIKI NA NADZIENIE'], [150, 'Gramów', 'Cukierki krówki'], [3, 'Łyżki', 'śmietanka kremowa 30%'], [50, 'Gramów', 'Mleczna czekolada']]","['Wymieszaj w misce mąkę i kakao. W drugiej misce zmiksuj masło z cukrem i solą na puszystą masę. Dodaj żółtka z jajek. W następnej kolejności dodaj suche składniki i miksuj całość aż do połączenia.', 'Przykryj ciasto folią i wstaw do lodówki na godzinę. Następnie roztrzep białko widelcem. Formuj małe kulki z ciasta, mocz je w białku i obtaczaj w orzechach.', 'Przygotowane w ten sposób ciastka układaj na blasze w odstępach. Na środku każdego ciasteczka zrób wgłębienie. Piecz je w  nagrzanym do 180°C piekarniku przez około 10-12 minut.', 'Upieczone ciastka ostudź, po czym ponownie zrób w nich wgłębienia. W małym rondlu rozpuść krówki ze śmietanką. Tak przygotowaną masą wypełnij wgłębienia w ciastkach.', 'Gdy masa krówkowa zastygnie, rozpuść w kąpieli wodnej czekoladę i polej nią ciastka.']","['sól', 'na słodko', 'cukier', 'masło', 'wypieki', 'impreza', 'deser', 'kakao decomorreno', 'jajko', 'podwieczorek', 'kakao', 'przystawki i przekąski', 'mąka pszenna tortowa lubella', 'bezmięsna', 'śmietanka kremowa 30%', 'urodziny imieniny', 'grill i piknik', 'mleczna czekolada', 'orzechy laskowe mielone', 'cukierki krówki']","['Gluten', 'Laktoza', 'Mleko', 'Jajka']",Średni,"Do 1,5 godz",decomorreno,http://uwielbiam.pl//przepis/ciasteczka-thumbprint-z-nadzieniem-krowkowym-i-orzechami
18,Dyniowo-czekoladowa granola,"Mamy przyjemność zaprezentować królową jesiennych wariacji - aromatyczną dynię w niecodziennym, super-zdrowym wydaniu.
Nasza granola jest aromatycznie kakaowa, a przy tym przyjemnie chrupiąca i totalnie uzależniająca. Jest niezwykle łatwa w przygotowaniu. Dyniowo-kakaową granolę można zajadać z mlekiem/ jogurtem oraz w towarzystwie ulubionych owoców. Świetnie nada się także jako dodatek do różnego rodzaju pachnących jesienią deserów.","[[4, 'Łyżki', 'Kakao DecoMorreno'], [4, 'Szklanki', 'Płatki owsiane'], [1, 'Szklanka', 'komosa ryżowa'], ['0.5 Szklanki Orzechy laskowe'], ['0.5 Szklanki orzechy włoskie'], [1, 'Szklanka', 'Pistacje obrane'], [3, 'Łyżki', 'Siemie lniane'], [250, 'Gramów', 'dyniowe puree'], ['0.5 Szklanki Olej kokosowy'], [1, 'Szklanka', 'Syrop klonowy'], [1, 'Łyżeczka', 'sól'], [2, 'Łyżeczki', 'cynamon']]","['Nastaw piekarnik na 200°C.  Wymieszaj suche składniki - płatki owsiane oraz komosę. Następnie w oddzielnym naczyniu zmieszaj mokre składniki i przyprawy (puree z dyni, rozpuszczony olej kokosowy, syrop klonowy/ miód, kakao, sól oraz cynamon).', 'Połącz wszystkie składniki, mieszając je dokładnie. Następnie rozłóż muesli na 2 dużych blachach, wyłożonych papierem do pieczenia.', 'Przgotowaną mieszankę piecz przez 15 minut. Po tym czasie dodaj orzechy laskowe, włoskie oraz pistacje. Wymieszaj całość i zamień miejscami blachy. Piecz granolę przez kolejne 15-20 minut.', 'Wyjmij blachy z piekarnika i pozwól aby muesli całkowicie ostygło. Gotową granolę przechowuj w szczelnie zamkniętym pojemniku. Podawaj ją z mlekiem roślinnym lub jogurtem - z dodatkiem ulubionych owoców.']","['sól', 'na słodko', 'impreza', 'deser', 'kakao decomorreno', 'śniadanie', 'podwieczorek', 'kakao', 'przystawki i przekąski', 'fit', 'cynamon', 'orzechy włoskie', 'śniadanie', 'przepisy z płatkami', 'płatki owsiane', 'olej kokosowy', 'orzechy laskowe', 'drugie śniadanie', 'siemie lniane', 'syrop klonowy', 'dyniowe puree', 'pistacje obrane', 'komosa ryżowa']","['Gluten', 'Orzechy', 'ziemne']",Łatwy,Do 1 godz,decomorreno,http://uwielbiam.pl//przepis/dyniowo-czekoladowa-granola
19,Grecka zapiekanka pastitsio,.,"[[250, 'Gramów', 'Makaron Lubella Mini rurki z warzywami'], [600, 'Gramów', 'antrykot wołowy'], [1, 'Puszka', 'pomidory krojone bez skórki Łowicz'], [1, 'Sztuka', 'cebula'], [50, 'Mililitrów', 'Czerwone wino'], [1, 'Szczypta', 'sól, pieprz'], [1, 'Szczypta', 'gałka muszkatołowa'], [1, 'Szczypta', 'Cukier trzcinowy'], [1, 'Szczypta', 'Suszone oregano'], ['Sos beszamel:'], [2, 'Łyżki', 'mąka Lubella Puszysta tortowa'], [2, 'Szklanki', 'mleko'], [2, 'Łyżki', 'masło'], [1, 'Szczypta', 'sól'], [1, 'Szczypta', 'pieprz biały'], [1, 'Szczypta', 'gałka muszkatołowa'], ['Dodatkowo:'], ['0.25 Szklanki bułka tarta']]","['Makaron ugotować według wskazówek na opakowaniu, odcedzić- zostawiając 1/3 szklanki wody, ostudzić i wymieszać z 2/3 porcji sosu beszamel', '1/3 części makaronu przełożyć do dużego naczynia żaroodpornego, kolejno ułożyć połowę porcji mięsnej, ponownie makaron, mięso, makaron i pozostały sos beszamel.', 'Ser drobno zetrzeć, wymieszać z bułką tartą i posypać wierzch zapiekanki,\nPiec około 35 minut w 80 stopniach.', 'sos beszamel:\nNa patelni roztopić masło, dodać mąkę i wymieszać rózgą.\nWlać mleko i mieszać do momentu, aż sos zrobi się jednolity i gęsty.\nDoprawić solą, pieprzem i gałką muszkatołową do smaku.']","['dla rodziny', 'dania główne', 'sól', 'cebula', 'sól, pieprz', 'masło', 'mleko', 'kolacja', 'bułka tarta', 'śródziemnomorska', 'bez mięsa', 'mąka lubella puszysta tortowa', 'dieta wegetariańska', 'gałka muszkatołowa', 'cukier trzcinowy', 'pieprz biały', 'suszone oregano', 'makaron lubella mini rurki z warzywami', 'pomidory krojone bez skórki łowicz', 'na słono', 'czerwone wino', 'antrykot wołowy', 'ser owczy']",None,Łatwy,"Do 1,5 godz",lubella,http://uwielbiam.pl//przepis/grecka-zapiekanka-pastitsio
